unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
All industries,5,21192,45.1,3.2,3.0,2,2990,36.0,7.0,2.8,3,18202,46.5,2.6,3.1,sector_industry,August 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
Transportation,1,652,36.0,4.0,3.3,,,,,,1,652,36.0,4.0,3.3,sector_industry,August 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
Finance and professional services,1,2240,36.0,7.7,2.5,1,2240,36.0,7.7,2.5,,,,,,sector_industry,August 2024,2025-10-21
"Education, health, and social services",2,17550,46.9,2.6,3.1,,,,,,2,17550,46.9,2.6,3.1,sector_industry,August 2024,2025-10-21
Entertainment and hospitality,1,750,36.0,5.0,3.7,1,750,36.0,5.0,3.7,,,,,,sector_industry,August 2024,2025-10-21
Public administration,,,,,,,,,,,,,,,,sector_industry,August 2024,2025-10-21
All industries,5,14010,31.8,5.7,4.4,4,9010,29.4,6.9,5.1,1,5000,36.0,3.5,3.0,sector_industry,September 2024,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,September 2024,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,September 2024,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,September 2024,2025-10-21
Manufacturing,1,2710,24.1,15.3,9.9,1,2710,24.1,15.3,9.9,,,,,,sector_industry,September 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,September 2024,2025-10-21
Transportation,1,550,48.0,5.0,4.2,1,550,48.0,5.0,4.2,,,,,,sector_industry,September 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,September 2024,2025-10-21
